"","Station","Year","Month","Median"
"1","Delhi",2017,"January",799.999999955
"2","Delhi",2017,"February",1978.472222233
"3","Delhi",2017,"March",3584.722222242
"4","Delhi",2017,"April",4118.055555614
"5","Delhi",2017,"May",6008.333333356
"6","Delhi",2017,"June",6067.500000022
"7","Delhi",2017,"July",6014.999999812
"8","Delhi",2017,"August",5438.33333324
"9","Delhi",2017,"September",4773.611111158
"10","Delhi",2017,"October",2704.722222273
"11","Delhi",2017,"November",2004.0277778015
"12","Delhi",2017,"December",1386.3888889
"13","Delhi",2018,"January",1472.22222217
"14","Delhi",2018,"February",2434.444444482
"15","Delhi",2018,"March",3115.694444461
"16","Delhi",2018,"April",3213.333333322
"17","Delhi",2018,"May",7242.777777877
"18","Delhi",2018,"June",6941.944444373
"19","Delhi",2018,"July",6688.7500000365
"20","Delhi",2018,"August",4874.722222113
"21","Delhi",2018,"September",3562.222222277
"22","Delhi",2018,"October",2370.833333311
"23","Delhi",2018,"November",817.638888897
"24","Delhi",2018,"December",734.999999934
"25","Delhi",2019,"January",1274
"26","Delhi",2019,"February",1765.5
"27","Delhi",2019,"March",4339
"28","Delhi",2019,"April",3205
"29","Delhi",2019,"May",3382
"30","Delhi",2019,"June",6798.5
"31","Delhi",2019,"July",7107
"32","Delhi",2019,"August",5620.5
"33","Delhi",2019,"September",4257
"34","Delhi",2019,"October",2485
"35","Delhi",2019,"November",1250
"36","Delhi",2019,"December",1002
"37","Delhi",2020,"January",1322
"38","Delhi",2020,"February",2535
"39","Delhi",2020,"March",2160.5
"40","Delhi",2020,"April",4846
"41","Delhi",2020,"May",5245
"42","Delhi",2020,"June",7317
"43","Delhi",2020,"July",6298
"44","Delhi",2020,"August",6117
"45","Delhi",2020,"September",3272.5
"46","Ottawa",2017,"January",1136
"47","Ottawa",2017,"February",2239
"48","Ottawa",2017,"March",3404
"49","Ottawa",2017,"April",3688
"50","Ottawa",2017,"May",4415
"51","Ottawa",2017,"June",5789.5
"52","Ottawa",2017,"July",5925
"53","Ottawa",2017,"August",5748
"54","Ottawa",2017,"September",4313
"55","Ottawa",2017,"October",2461.5
"56","Ottawa",2017,"November",1385
"57","Ottawa",2017,"December",1261
"58","Ottawa",2018,"January",1294
"59","Ottawa",2018,"February",2237.5
"60","Ottawa",2018,"March",2993.5
"61","Ottawa",2018,"April",3625
"62","Ottawa",2018,"May",7502
"63","Ottawa",2018,"June",7436
"64","Ottawa",2018,"July",6995.5
"65","Ottawa",2018,"August",5515
"66","Ottawa",2018,"September",3766
"67","Ottawa",2018,"October",2371
"68","Ottawa",2018,"November",1118.5
"69","Ottawa",2018,"December",1045
"70","Ottawa",2019,"January",1573
"71","Ottawa",2019,"February",2111.5
"72","Ottawa",2019,"March",4940
"73","Ottawa",2019,"April",4344
"74","Ottawa",2019,"May",3857
"75","Ottawa",2019,"June",5502.5
"76","Ottawa",2019,"July",6875
"77","Ottawa",2019,"August",5610
"78","Ottawa",2019,"September",4664
"79","Ottawa",2019,"October",2186
"80","Ottawa",2019,"November",1054
"81","Ottawa",2019,"December",1037.5
"82","Ottawa",2020,"January",1353
"83","Ottawa",2020,"February",2303.5
"84","Ottawa",2020,"March",2610.5
"85","Ottawa",2020,"April",5172
"86","Ottawa",2020,"May",6697
"87","Ottawa",2020,"June",6329
"88","Ottawa",2020,"July",6482
"89","Ottawa",2020,"August",5845
"90","Ottawa",2020,"September",3447
"91","Ottawa",2020,"October",1891.5
"92","Ottawa",2020,"November",1440
"93","Ottawa",2020,"December",763
