"","Station","Period","Month","Ndays","Median","Pval","Pval_old"
"1","Delhi","2017-2019","January",68,1271.5,0.116,0.1235
"2","Delhi","2017-2019","February",60,2154.49999999,0.5751,0.5936
"3","Delhi","2017-2019","March",66,3645.000000019,0.4611,0.4874
"4","Delhi","2017-2019","April",63,3380.000000068,0.5756,0.5015
"5","Delhi","2017-2019","May",69,5962,0.0173,0.0205
"6","Delhi","2017-2019","June",63,6588,0.6455,0.6179
"7","Delhi","2017-2019","July",66,6688.7500000365,0.2389,NA
"8","Delhi","2017-2019","August",68,5430.16666662,0.4216,NA
"9","Delhi","2017-2019","September",62,4281.277777778,0.0079,NA
"10","Delhi","2017-2019","October",68,2471.5833333385,0.7692,NA
"11","Delhi","2017-2019","November",65,1249,0.0035,NA
"12","Delhi","2017-2019","December",64,957.666666659,0.0324,NA
"13","Delhi","2020","January",23,1322,0.782,0.7771
"14","Delhi","2020","February",20,2535,0.4756,0.4678
"15","Delhi","2020","March",22,2160.5,0.0485,0.0502
"16","Delhi","2020","April",22,4846,0.0463,0.0478
"17","Delhi","2020","May",21,5245,0.4939,0.505
"18","Delhi","2020","June",22,7317,0.1889,0.1867
"19","Delhi","2020","July",23,6298,0.5392,NA
"20","Delhi","2020","August",21,6117,0.2114,NA
"21","Delhi","2020","September",10,3272.5,0.0516,NA
"22","Delhi","2020","October",0,NA,NA,NA
"23","Delhi","2020","November",0,NA,NA,NA
"24","Delhi","2020","December",0,NA,NA,NA
"25","Ottawa","2017-2019","January",68,1290.5,0.6631,0.6832
"26","Ottawa","2017-2019","February",60,2207.5,0.9296,0.9197
"27","Ottawa","2017-2019","March",66,3474.5,0.1368,0.1305
"28","Ottawa","2017-2019","April",63,3831,0.8403,0.8121
"29","Ottawa","2017-2019","May",69,4562,0.0014,8e-04
"30","Ottawa","2017-2019","June",63,5710,0.2238,0.1992
"31","Ottawa","2017-2019","July",66,6731.5,0.1401,NA
"32","Ottawa","2017-2019","August",68,5609,0.8878,NA
"33","Ottawa","2017-2019","September",62,4394.5,0.3689,NA
"34","Ottawa","2017-2019","October",68,2259,0.8582,NA
"35","Ottawa","2017-2019","November",65,1242,0.4637,NA
"36","Ottawa","2017-2019","December",59,1079,0.5787,NA
"37","Ottawa","2020","January",23,1353,0.8333,0.8405
"38","Ottawa","2020","February",20,2303.5,0.7599,0.7465
"39","Ottawa","2020","March",22,2610.5,0.2688,0.2688
"40","Ottawa","2020","April",22,5172,0.1521,0.148
"41","Ottawa","2020","May",21,6697,0.0628,0.0677
"42","Ottawa","2020","June",22,6329,0.5314,0.515
"43","Ottawa","2020","July",23,6482,0.6156,NA
"44","Ottawa","2020","August",21,5845,0.4998,NA
"45","Ottawa","2020","September",22,3447,0.1078,NA
"46","Ottawa","2020","October",22,1891.5,0.3957,NA
"47","Ottawa","2020","November",21,1440,0.3882,NA
"48","Ottawa","2020","December",23,763,0.1189,NA
