Station,Pollutant,Year,Month,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.
Barrie,O3,2017-2019,January,11.625,19.760416666666668,24.479166666666664,24.3237229256251,28.383152173913043,36.958333333333336
Barrie,O3,2017-2019,February,8.130434782608695,24.212009803921568,29.6875,28.579640878090366,33.614583333333336,37.625
Barrie,O3,2017-2019,March,18.434782608695652,30.519927536231886,34.35416666666667,34.045588540411195,38.239583333333336,46.791666666666664
Barrie,O3,2017-2019,April,21.041666666666668,30.488636363636363,34.416666666666664,34.19537066766393,37.041666666666664,48.916666666666664
Barrie,O3,2017-2019,May,15.708333333333334,27.708333333333332,31.666666666666668,32.24204473850031,36.5,50.041666666666664
Barrie,O3,2017-2019,June,12.625,22.395833333333336,26.583333333333332,26.382716049382715,30.270833333333336,42.291666666666664
Barrie,O3,2020,January,14.125,20.708333333333336,26.166666666666668,24.85974446987033,29.083333333333332,36.041666666666664
Barrie,O3,2020,February,21.375,31.09375,34.0588768115942,32.72255434782609,35.927083333333336,36.958333333333336
Barrie,O3,2020,March,20.875,26.270833333333332,30.0625,30.047348484848484,33.15625,40.125
Barrie,O3,2020,April,28.25,30.989583333333332,33.291666666666664,33.628787878787875,36.864583333333336,39.166666666666664
Barrie,O3,2020,May,19.291666666666668,27.958333333333332,29.333333333333332,30.95436507936508,36.458333333333336,40.375
Barrie,O3,2020,June,18.666666666666668,25.5,28,29.959164271170202,35.365036231884055,48.333333333333336
Barrie,PM25,2017-2019,January,0.7083333333333334,3.9375,5.916666666666667,7.971295365972476,10.260416666666666,24.041666666666668
Barrie,PM25,2017-2019,February,1.8333333333333333,4.03125,6.3125,7.808141966374063,10,25.58823529411765
Barrie,PM25,2017-2019,March,0.5,3.3375,5.169384057971014,6.91719082410782,10.174818840579709,22.416666666666668
Barrie,PM25,2017-2019,April,0.4583333333333333,2.6875,4.8125,5.6173745872512475,7.479166666666667,20.916666666666668
Barrie,PM25,2017-2019,May,0.9583333333333334,3.3333333333333335,6.833333333333333,6.9580055210489995,9.375,16.791666666666668
Barrie,PM25,2017-2019,June,0,3.0791666666666666,6.041666666666667,6.004839865239025,8.354166666666666,16.416666666666668
Barrie,PM25,2020,January,2,4.083333333333333,7.958333333333333,8.230797101449275,10.479166666666668,22.958333333333332
Barrie,PM25,2020,February,0.8333333333333334,3.375,4.263833992094861,5.295133399209486,6.78125,12.125
Barrie,PM25,2020,March,2.5833333333333335,4.84375,7.105072463768116,8.019021739130435,11.510416666666666,14.583333333333334
Barrie,PM25,2020,April,2.375,5.104166666666667,5.9375,6.799077733860343,8.44836956521739,12.869565217391305
Barrie,PM25,2020,May,1.25,4.086956521739131,7.666666666666667,8.037655279503106,11.083333333333334,17.375
Barrie,PM25,2020,June,0.5,4,6.909090909090909,7.702660104445819,9.583333333333334,20.11111111111111
Barrie,NO2,2017-2019,January,1.6041666666666667,4.875,9.3,9.35507381921561,12.195833333333333,30.333333333333332
Barrie,NO2,2017-2019,February,1.2916666666666667,4.177083333333333,7.029166666666667,8.394131041415248,11.076041666666665,21.583333333333332
Barrie,NO2,2017-2019,March,1.8333333333333333,3.63125,6.727083333333333,6.907057783997663,9.01875,17.958333333333332
Barrie,NO2,2017-2019,April,2.125,3.3680555555555554,4.833333333333333,5.662364459032039,7.1875,13.529166666666667
Barrie,NO2,2017-2019,May,1.5374999999999999,4.045833333333333,5.375,5.678759714345726,7.004166666666666,12.708333333333334
Barrie,NO2,2017-2019,June,2.4583333333333335,3.9375,5.5,5.496803350970017,6.614583333333334,12.370833333333334
Barrie,NO2,2020,January,3.0125,5.583333333333334,9.083333333333334,10.098464912280702,12.903179824561404,24.825
Barrie,NO2,2020,February,2.6083333333333334,3.7104166666666667,5.708333333333333,6.54143115942029,8.878125,14.104166666666666
Barrie,NO2,2020,March,2.4541666666666666,3.9270833333333335,5.362500000000001,6.558522727272727,8.585416666666665,16.25
Barrie,NO2,2020,April,1.35,2.9,4.925,5.042424242424242,6.669791666666667,10.841666666666667
Barrie,NO2,2020,May,1.7,2.9291666666666667,4.066666666666666,4.696428571428571,6.504166666666666,9.625
Barrie,NO2,2020,June,1.7652173913043478,3.611458333333333,5.06875,5.071548560135517,5.595833333333333,9.362499999999999
Belleville,O3,2017-2019,January,15.5,24.114583333333332,28.1875,27.594144772533518,30.9375,38.208333333333336
Belleville,O3,2017-2019,February,14.375,28.302083333333332,31.625,31.427909451659453,36,39.75
Belleville,O3,2017-2019,March,21.041666666666668,34.8125,36.8125,36.53039321789322,39.65625,46.458333333333336
Belleville,O3,2017-2019,April,23.75,32.229166666666664,36,35.826580339738236,39.05811403508772,48.5
