Station,Pollutant,Period,Month,Pval_mean,Pval_med
Barrie,O3,2017-2019,January,0.5581,0.5042
Barrie,O3,2017-2019,February,0.3101,0.1211
Barrie,O3,2017-2019,March,0.0797,0.1074
Barrie,O3,2017-2019,April,8e-4,5e-4
Barrie,O3,2017-2019,May,0,1e-4
Barrie,O3,2017-2019,June,0.0711,0.8708
Barrie,O3,2020,January,0.7072,0.4849
Barrie,O3,2020,February,0.1978,0.1082
Barrie,O3,2020,March,3e-4,0.0012
Barrie,O3,2020,April,0.1447,0.4485
Barrie,O3,2020,May,0.328,0.2516
Barrie,O3,2020,June,0.1876,0.8806
Barrie,PM25,2017-2019,January,0.0052,0.2632
Barrie,PM25,2017-2019,February,0.2724,0.0459
Barrie,PM25,2017-2019,March,1e-4,8e-4
Barrie,PM25,2017-2019,April,0.2071,0.048
Barrie,PM25,2017-2019,May,0.0106,1e-4
Barrie,PM25,2017-2019,June,0.8931,0.9579
Barrie,PM25,2020,January,0.6371,0.5591
Barrie,PM25,2020,February,0.6036,0.9658
Barrie,PM25,2020,March,0.3466,0.063
Barrie,PM25,2020,April,0.0301,0.0133
Barrie,PM25,2020,May,0.3292,0.9089
Barrie,PM25,2020,June,0.9889,0.4156
Barrie,NO2,2017-2019,January,0.375,0.332
Barrie,NO2,2017-2019,February,0.2536,0.2148
Barrie,NO2,2017-2019,March,0.0033,0.1945
Barrie,NO2,2017-2019,April,0.0483,0.3998
Barrie,NO2,2017-2019,May,0.0399,0.0521
Barrie,NO2,2017-2019,June,0.6299,0.5761
Barrie,NO2,2020,January,0.9723,0.8665
Barrie,NO2,2020,February,0.9484,0.3281
Barrie,NO2,2020,March,0.7789,0.7626
Barrie,NO2,2020,April,0.5292,0.5617
Barrie,NO2,2020,May,0.0469,0.0034
Barrie,NO2,2020,June,0.2425,0.756
Belleville,O3,2017-2019,January,0.4728,0.7029
Belleville,O3,2017-2019,February,0.19,0.0174
Belleville,O3,2017-2019,March,0.7176,0.8877
Belleville,O3,2017-2019,April,0.0086,0.0442
Belleville,O3,2017-2019,May,3e-4,0.0042
Belleville,O3,2017-2019,June,0.4138,0.1857
Belleville,O3,2020,January,0.7032,0.5685
Belleville,O3,2020,February,0.5533,0.7625
Belleville,O3,2020,March,1e-4,7e-4
Belleville,O3,2020,April,0.5869,0.3707
Belleville,O3,2020,May,0.3858,0.6736
Belleville,O3,2020,June,0.1301,0.0165
Belleville,PM25,2017-2019,January,0.0422,0.1483
Belleville,PM25,2017-2019,February,0.6177,0.0877
Belleville,PM25,2017-2019,March,0,1e-4
Belleville,PM25,2017-2019,April,0.8415,0.1686
Belleville,PM25,2017-2019,May,6e-4,0.0029
Belleville,PM25,2017-2019,June,0.3747,0.3429
Belleville,PM25,2020,January,0.6793,0.462
Belleville,PM25,2020,February,0.517,0.677
Belleville,PM25,2020,March,0.3155,0.0744
Belleville,PM25,2020,April,0.5511,0.3931
Belleville,PM25,2020,May,0.7988,0.7872
Belleville,PM25,2020,June,0.052,0.0062
Belleville,NO2,2017-2019,January,0.2547,0.8026
Belleville,NO2,2017-2019,February,0.9633,0.5629
Belleville,NO2,2017-2019,March,0,2e-4
Belleville,NO2,2017-2019,April,0.5433,0.0208
Belleville,NO2,2017-2019,May,0.4508,0.719
Belleville,NO2,2017-2019,June,0.8057,0.9284
Belleville,NO2,2020,January,0.9943,0.6115
Belleville,NO2,2020,February,0.3856,0.4222
Belleville,NO2,2020,March,0.5554,0.6296
Belleville,NO2,2020,April,0.044,0.0645
Belleville,NO2,2020,May,0.478,0.2801
Belleville,NO2,2020,June,0.0708,0.1287
Brantford,O3,2017-2019,January,0.1868,0.4882
Brantford,O3,2017-2019,February,0.3202,0.9475
Brantford,O3,2017-2019,March,0.3027,0.5607
Brantford,O3,2017-2019,April,0.0649,0.1136
Brantford,O3,2017-2019,May,0,6e-4
Brantford,O3,2017-2019,June,0.2382,0.851
Brantford,O3,2020,January,0.9558,0.5647
Brantford,O3,2020,February,0.2329,0.5872
Brantford,O3,2020,March,0,0
Brantford,O3,2020,April,0.8645,0.4181
Brantford,O3,2020,May,0.0441,0.3076
Brantford,O3,2020,June,0.3677,0.2456
Brantford,PM25,2017-2019,January,0.537,0.8242
Brantford,PM25,2017-2019,February,0.6674,0.9196
Brantford,PM25,2017-2019,March,0.0134,0.0227
Brantford,PM25,2017-2019,April,0.5238,0.9255
Brantford,PM25,2017-2019,May,6e-4,3e-4
Brantford,PM25,2017-2019,June,0.1221,0.0686
Brantford,PM25,2020,January,0.1496,0.1674
Brantford,PM25,2020,February,0.1088,0.1041
Brantford,PM25,2020,March,0.7626,0.0986
Brantford,PM25,2020,April,0.5261,0.9466
Brantford,PM25,2020,May,0.0211,0.0766
Brantford,PM25,2020,June,0.8053,0.6955
Brantford,NO2,2017-2019,January,0.5312,0.0736
Brantford,NO2,2017-2019,February,0.0631,0.1006
Brantford,NO2,2017-2019,March,0.0112,0.301
Brantford,NO2,2017-2019,April,0.0129,0.0198
Brantford,NO2,2017-2019,May,0.0201,0.0027
Brantford,NO2,2017-2019,June,0.0039,0.0096
Brantford,NO2,2020,January,0.2943,0.3158
Brantford,NO2,2020,February,0.0763,0.2776
Brantford,NO2,2020,March,0.6519,0.413
Brantford,NO2,2020,April,0.036,0.1287
Brantford,NO2,2020,May,0.0906,0.1007
Brantford,NO2,2020,June,0.0995,0.2527
Burlington,O3,2017-2019,January,0.213,0.2065
Burlington,O3,2017-2019,February,0.1344,0.4902
Burlington,O3,2017-2019,March,0.8739,0.9552
Burlington,O3,2017-2019,April,0.2209,0.7487
Burlington,O3,2017-2019,May,0,2e-4
Burlington,O3,2017-2019,June,0.7648,0.856
Burlington,O3,2020,January,0.5328,0.2781
Burlington,O3,2020,February,0.141,0.4122
Burlington,O3,2020,March,0.0226,0.0192
Burlington,O3,2020,April,0.1425,0.0302
