Station,Pollutant,Period,Month,Pval_mean,Pval_med
Barrie,O3,2017-2019,January,0.8947,0.3607
Barrie,O3,2017-2019,February,0.2129,0.2668
Barrie,O3,2017-2019,March,0.2305,0.0087
Barrie,O3,2017-2019,April,0.0267,0.1298
Barrie,O3,2017-2019,May,0,0.0025
Barrie,O3,2017-2019,June,0.0818,0.8073
Barrie,O3,2020,January,0.7109,0.2607
Barrie,O3,2020,February,0.0092,0.0165
Barrie,O3,2020,March,0.0026,0.0129
Barrie,O3,2020,April,0.6415,0.3405
Barrie,O3,2020,May,0.4425,0.4156
Barrie,O3,2020,June,0.0237,0.3677
Barrie,PM25,2017-2019,January,0.053900000000000003,0.4031
Barrie,PM25,2017-2019,February,0.1264,0.1111
Barrie,PM25,2017-2019,March,2e-4,0.0014
Barrie,PM25,2017-2019,April,0.0104,0.048
Barrie,PM25,2017-2019,May,0.0068,0.0014
Barrie,PM25,2017-2019,June,0.5771,0.1687
Barrie,PM25,2020,January,0.8414,0.2084
Barrie,PM25,2020,February,0.0382,0.1362
Barrie,PM25,2020,March,0.3529,0.0909
Barrie,PM25,2020,April,0.2043,0.1436
Barrie,PM25,2020,May,0.2884,0.6738
Barrie,PM25,2020,June,0.1182,0.5559
Barrie,NO2,2017-2019,January,0.5326,0.2163
Barrie,NO2,2017-2019,February,0.2105,0.01
Barrie,NO2,2017-2019,March,0,0.0083
Barrie,NO2,2017-2019,April,0.009,0.081
Barrie,NO2,2017-2019,May,0.0214,0.0192
Barrie,NO2,2017-2019,June,0.8131,0.8618
Barrie,NO2,2020,January,0.5846,0.8423
Barrie,NO2,2020,February,0.153,0.4402
Barrie,NO2,2020,March,0.719,0.4518
Barrie,NO2,2020,April,0.3931,0.927
Barrie,NO2,2020,May,0.1034,0.0844
Barrie,NO2,2020,June,0.4012,0.5562
Belleville,O3,2017-2019,January,0.7858,0.8345
Belleville,O3,2017-2019,February,0.0469,0.0028
Belleville,O3,2017-2019,March,0.4028,0.2138
Belleville,O3,2017-2019,April,0.0735,0.086
Belleville,O3,2017-2019,May,7e-4,0.007
Belleville,O3,2017-2019,June,0.5104,0.3935
Belleville,O3,2020,January,0.75,0.4634
Belleville,O3,2020,February,0.3783,0.243
Belleville,O3,2020,March,4e-4,0
Belleville,O3,2020,April,0.5375,0.6481
Belleville,O3,2020,May,0.3156,0.8082
Belleville,O3,2020,June,0.0095,0.0064
Belleville,PM25,2017-2019,January,0.2026,0.2753
Belleville,PM25,2017-2019,February,0.0733,0.057
Belleville,PM25,2017-2019,March,0.004,0.0024
Belleville,PM25,2017-2019,April,0.3344,0.0303
Belleville,PM25,2017-2019,May,0.0123,0.0084
Belleville,PM25,2017-2019,June,0.5555,0.2138
Belleville,PM25,2020,January,0.972,0.8655
Belleville,PM25,2020,February,0.4967,0.5253
Belleville,PM25,2020,March,0.2613,0.0611
Belleville,PM25,2020,April,0.7289,0.6945
Belleville,PM25,2020,May,0.6289,0.9274
Belleville,PM25,2020,June,0.0189,0.0014
Belleville,NO2,2017-2019,January,0.3781,0.8312
Belleville,NO2,2017-2019,February,0.3427,0.6115
Belleville,NO2,2017-2019,March,0,4e-4
Belleville,NO2,2017-2019,April,0.6913,0.4842
Belleville,NO2,2017-2019,May,0.5249,0.9471
Belleville,NO2,2017-2019,June,0.7004,0.8652
Belleville,NO2,2020,January,0.5313,0.8278
Belleville,NO2,2020,February,0.3381,0.364
Belleville,NO2,2020,March,0.5301,0.8142
Belleville,NO2,2020,April,0.042,0.2321
Belleville,NO2,2020,May,0.9848,0.7847
Belleville,NO2,2020,June,0.0925,0.1226
Brantford,O3,2017-2019,January,0.2488,0.3353
Brantford,O3,2017-2019,February,0.6907,0.741
Brantford,O3,2017-2019,March,0.3207,0.3203
Brantford,O3,2017-2019,April,0.129,0.2296
Brantford,O3,2017-2019,May,6e-4,0.0175
Brantford,O3,2017-2019,June,0.9572,0.5302
Brantford,O3,2020,January,0.8145,0.8494
Brantford,O3,2020,February,0.104,0.8119
Brantford,O3,2020,March,1e-4,2e-4
Brantford,O3,2020,April,0.4738,0.2111
Brantford,O3,2020,May,0.0658,0.4095
Brantford,O3,2020,June,0.0781,0.1084
Brantford,PM25,2017-2019,January,0.8153,0.921
