Station,Period,Month,Pval_mean,Pval_med
Delhi,2017-2019,January,0.0113,0.0352
Delhi,2017-2019,February,0.5167,0.6166
Delhi,2017-2019,March,0.3225,0.5811
Delhi,2017-2019,April,0.3647,0.4416
Delhi,2017-2019,May,0.0254,0.0837
Delhi,2017-2019,June,0.453,0.2097
Delhi,2020,January,0.2004,0.3609
Delhi,2020,February,0.3376,0.144
Delhi,2020,March,0.1211,0.2299
Delhi,2020,April,0.1769,0.0575
Delhi,2020,May,0.8087,0.1794
Delhi,2020,June,0.0022,0.0035
Ottawa,2017-2019,January,0.6066,0.6937
Ottawa,2017-2019,February,0.8678,0.8294
Ottawa,2017-2019,March,0.766,0.3158
Ottawa,2017-2019,April,0.9764,0.9449
Ottawa,2017-2019,May,0.0588,0.0602
Ottawa,2017-2019,June,0.4057,0.3445
Ottawa,2020,January,0.3449,0.3822
Ottawa,2020,February,0.2231,0.1604
Ottawa,2020,March,0.2857,0.4257
Ottawa,2020,April,0.3246,0.1497
Ottawa,2020,May,0.0094,0.1127
Ottawa,2020,June,0.1817,0.5482
