Station,Period,Month,Pval_mean,Pval_med
Delhi,2017-2019,January,0.0067,0.1235
Delhi,2017-2019,February,0.6524,0.5936
Delhi,2017-2019,March,0.3026,0.4874
Delhi,2017-2019,April,0.7156,0.5015
Delhi,2017-2019,May,0.0168,0.0205
Delhi,2017-2019,June,0.9817,0.6179
Delhi,2020,January,0.606,0.7771
Delhi,2020,February,0.7542,0.4678
Delhi,2020,March,0.0265,0.0502
Delhi,2020,April,0.1512,0.0478
Delhi,2020,May,0.9468,0.505
Delhi,2020,June,0.0241,0.1867
Ottawa,2017-2019,January,0.5088,0.6832
Ottawa,2017-2019,February,0.9543,0.9197
Ottawa,2017-2019,March,0.275,0.1305
Ottawa,2017-2019,April,0.8596,0.8121
Ottawa,2017-2019,May,0.0464,8e-4
Ottawa,2017-2019,June,0.6507,0.1992
Ottawa,2020,January,0.8698,0.8405
Ottawa,2020,February,0.8339,0.7465
Ottawa,2020,March,0.1275,0.2688
Ottawa,2020,April,0.3045,0.148
Ottawa,2020,May,0.03,0.0677
Ottawa,2020,June,0.27,0.515
