Station,Period,Month,Pval_mean,Pval_med
Grand_Bend_Goderich,2017-2019,January,0.0052,0.0154
Grand_Bend_Goderich,2017-2019,February,0.035,0.1418
Grand_Bend_Goderich,2017-2019,March,0.8286,0.2527
Grand_Bend_Goderich,2017-2019,April,0,0
Grand_Bend_Goderich,2017-2019,May,0,0.0015
Grand_Bend_Goderich,2017-2019,June,0.0472,0.0609
Grand_Bend_Goderich,2020,January,0.011,0.0591
Grand_Bend_Goderich,2020,February,0.5911,0.5654
Grand_Bend_Goderich,2020,March,2e-4,0.0203
Grand_Bend_Goderich,2020,April,0.3768,0.3684
Grand_Bend_Goderich,2020,May,0.2367,0.727
Grand_Bend_Goderich,2020,June,0.4233,0.3101
Guelph,2017-2019,January,0.0284,0.0407
Guelph,2017-2019,February,0.0913,0.5436
Guelph,2017-2019,March,0.6331,0.7285
Guelph,2017-2019,April,0,0
Guelph,2017-2019,May,6e-4,0.0049
Guelph,2017-2019,June,0.5109,0.7568
Guelph,2020,January,0.0064,0.0409
Guelph,2020,February,0.4656,0.2543
Guelph,2020,March,6e-4,0.0029
Guelph,2020,April,0.5881,0.503
Guelph,2020,May,0.3934,0.4055
Guelph,2020,June,0.2882,0.0085
Hamilton_Downtown,2017-2019,January,0.0083,0.0471
Hamilton_Downtown,2017-2019,February,0.0268,0.087
Hamilton_Downtown,2017-2019,March,0.8109,0.4024
Hamilton_Downtown,2017-2019,April,0,1e-4
Hamilton_Downtown,2017-2019,May,1e-4,0.0012
Hamilton_Downtown,2017-2019,June,0.0743,0.372
Hamilton_Downtown,2020,January,NA,NA
Hamilton_Downtown,2020,February,NA,NA
Hamilton_Downtown,2020,March,NA,NA
Hamilton_Downtown,2020,April,NA,NA
Hamilton_Downtown,2020,May,0.0782,0.4531
Hamilton_Downtown,2020,June,0.0876,0.0053
Hamilton_West_Hamilton_Mountain,2017-2019,January,0.0096,0.0236
Hamilton_West_Hamilton_Mountain,2017-2019,February,0.0272,0.2469
Hamilton_West_Hamilton_Mountain,2017-2019,March,0.897,0.3147
Hamilton_West_Hamilton_Mountain,2017-2019,April,0,0
Hamilton_West_Hamilton_Mountain,2017-2019,May,0,0.0072
Hamilton_West_Hamilton_Mountain,2017-2019,June,0.566,0.8606
Hamilton_West_Hamilton_Mountain,2020,January,0.0055,0.1703
Hamilton_West_Hamilton_Mountain,2020,February,0.1332,0.089
Hamilton_West_Hamilton_Mountain,2020,March,7e-4,0.0011
Hamilton_West_Hamilton_Mountain,2020,April,0.6373,0.5006
Hamilton_West_Hamilton_Mountain,2020,May,0.1581,0.1466
Hamilton_West_Hamilton_Mountain,2020,June,0.1731,0.0099
Kitchener_Waterloo,2017-2019,January,0.007,0.0479
Kitchener_Waterloo,2017-2019,February,0.0369,0.343
Kitchener_Waterloo,2017-2019,March,0.5005,0.5723
Kitchener_Waterloo,2017-2019,April,0,0
Kitchener_Waterloo,2017-2019,May,0,0.0048
Kitchener_Waterloo,2017-2019,June,0.2398,0.9384
Kitchener_Waterloo,2020,January,0.0037,0.0838
Kitchener_Waterloo,2020,February,0.232,0.1416
Kitchener_Waterloo,2020,March,0.0014,0.0044
Kitchener_Waterloo,2020,April,0.5475,0.4402
Kitchener_Waterloo,2020,May,0.088,0.1305
Kitchener_Waterloo,2020,June,0.4159,0.0086
London,2017-2019,January,0.0047,0.0253
London,2017-2019,February,0.0292,0.2039
London,2017-2019,March,0.5075,0.3269
London,2017-2019,April,0,1e-4
London,2017-2019,May,0,4e-4
London,2017-2019,June,0.4059,0.7293
London,2020,January,0.0027,0.0316
London,2020,February,0.4719,0.6607
London,2020,March,1e-4,0.0016
London,2020,April,0.3915,0.5868
London,2020,May,0.1217,0.2594
London,2020,June,0.5597,0.0794
Ottawa_Downtown,2017-2019,January,9e-4,4e-4
Ottawa_Downtown,2017-2019,February,0.0314,0.0171
Ottawa_Downtown,2017-2019,March,0.0234,0.1061
Ottawa_Downtown,2017-2019,April,4e-4,0.0033
Ottawa_Downtown,2017-2019,May,3e-4,0.0046
Ottawa_Downtown,2017-2019,June,0.6587,0.8039
Ottawa_Downtown,2020,January,0.032,0.2077
Ottawa_Downtown,2020,February,0.7335,0.9357
Ottawa_Downtown,2020,March,8e-4,0.0126
Ottawa_Downtown,2020,April,0.874,0.8264
Ottawa_Downtown,2020,May,0.9338,0.9926
Ottawa_Downtown,2020,June,0.1469,0.2223
Parry_Sound,2017-2019,January,4e-4,0
Parry_Sound,2017-2019,February,NA,NA
Parry_Sound,2017-2019,March,NA,NA
Parry_Sound,2017-2019,April,0.0021,0.0168
Parry_Sound,2017-2019,May,0.0016,0.0137
Parry_Sound,2017-2019,June,0.0472,0.1268
Parry_Sound,2020,January,0.0485,0.2529
Parry_Sound,2020,February,0.6836,0.6441
Parry_Sound,2020,March,0.0023,0.0325
Parry_Sound,2020,April,0.2871,0.2901
Parry_Sound,2020,May,0.8333,0.2623
Parry_Sound,2020,June,0.1209,0.1901
Sarnia,2017-2019,January,0.2076,0.287
Sarnia,2017-2019,February,0.0494,0.1347
Sarnia,2017-2019,March,0.9987,0.4472
Sarnia,2017-2019,April,0,3e-4
Sarnia,2017-2019,May,0.0127,0.1474
Sarnia,2017-2019,June,0.0295,0.0425
Sarnia,2020,January,7e-4,0.0173
Sarnia,2020,February,0.8151,0.7786
Sarnia,2020,March,0,0
Sarnia,2020,April,0.4068,0.5082
Sarnia,2020,May,0.3813,0.8832
Sarnia,2020,June,0.4247,0.1288
Toronto,2017-2019,January,0.0063,0.0051
