"","Station","Pollutant","Year","Month","Median"
"1","Barrie","NO2",2017,"January",10.0952380952381
"2","Barrie","NO2",2017,"February",8.14583333333333
"3","Barrie","NO2",2017,"March",6.66666666666667
"4","Barrie","NO2",2017,"April",3.85714285714286
"5","Barrie","NO2",2017,"May",5.5
"6","Barrie","NO2",2017,"June",5.58333333333333
"7","Barrie","NO2",2017,"July",5.29166666666667
"8","Barrie","NO2",2017,"August",5.25
"9","Barrie","NO2",2017,"September",7.625
"10","Barrie","NO2",2017,"October",7.66666666666667
"11","Barrie","NO2",2017,"November",10.4166666666667
"12","Barrie","NO2",2017,"December",8.125
"13","Barrie","NO2",2018,"January",11.4854166666667
"14","Barrie","NO2",2018,"February",9.78958333333333
"15","Barrie","NO2",2018,"March",4.30625
"16","Barrie","NO2",2018,"April",6.10833333333333
"17","Barrie","NO2",2018,"May",6.35
"18","Barrie","NO2",2018,"June",4.8125
"19","Barrie","NO2",2018,"July",6
"20","Barrie","NO2",2018,"August",5.20416666666667
"21","Barrie","NO2",2018,"September",4.4875
"22","Barrie","NO2",2018,"October",6.975
"23","Barrie","NO2",2018,"November",8.20833333333333
"24","Barrie","NO2",2018,"December",8.10416666666667
"25","Barrie","NO2",2019,"January",7.1375
"26","Barrie","NO2",2019,"February",3.95625
"27","Barrie","NO2",2019,"March",8.90833333333333
"28","Barrie","NO2",2019,"April",4.87291666666667
"29","Barrie","NO2",2019,"May",4.18333333333333
"30","Barrie","NO2",2019,"June",5.32916666666667
"31","Barrie","NO2",2019,"July",4.8125
"32","Barrie","NO2",2019,"August",4.96875
"33","Barrie","NO2",2019,"September",5.37916666666667
"34","Barrie","NO2",2019,"October",6.39166666666667
"35","Barrie","NO2",2019,"November",8.77083333333333
"36","Barrie","NO2",2019,"December",10.0520833333333
"37","Barrie","NO2",2020,"January",9.08333333333333
"38","Barrie","NO2",2020,"February",5.70833333333333
"39","Barrie","NO2",2020,"March",5.50833333333333
"40","Barrie","NO2",2020,"April",5.27083333333333
"41","Barrie","NO2",2020,"May",4.475
"42","Barrie","NO2",2020,"June",5.4125
"43","Barrie","NO2",2020,"July",3.12916666666667
"44","Barrie","NO2",2020,"August",3.325
"45","Barrie","NO2",2020,"September",4.4411231884058
"46","Barrie","NO2",2020,"October",5.40416666666667
"47","Barrie","NO2",2020,"November",8.12916666666667
"48","Barrie","NO2",2020,"December",5.79583333333333
"49","Barrie","O3",2017,"January",24.3541666666667
"50","Barrie","O3",2017,"February",29.2916666666667
"51","Barrie","O3",2017,"March",31.5789473684211
"52","Barrie","O3",2017,"April",34.0996376811594
"53","Barrie","O3",2017,"May",29.625
"54","Barrie","O3",2017,"June",26.8541666666667
"55","Barrie","O3",2017,"July",22.5416666666667
"56","Barrie","O3",2017,"August",23.5
"57","Barrie","O3",2017,"September",20.4583333333333
"58","Barrie","O3",2017,"October",21.7083333333333
"59","Barrie","O3",2017,"November",19.6666666666667
"60","Barrie","O3",2017,"December",25.4583333333333
"61","Barrie","O3",2018,"January",23.625
"62","Barrie","O3",2018,"February",28.0416666666667
"63","Barrie","O3",2018,"March",37.2083333333333
"64","Barrie","O3",2018,"April",36.2083333333333
"65","Barrie","O3",2018,"May",35.6666666666667
"66","Barrie","O3",2018,"June",26.5833333333333
"67","Barrie","O3",2018,"July",30.0208333333333
"68","Barrie","O3",2018,"August",23.625
"69","Barrie","O3",2018,"September",19.7083333333333
"70","Barrie","O3",2018,"October",18.6666666666667
"71","Barrie","O3",2018,"November",17.9375
"72","Barrie","O3",2018,"December",20.0833333333333
"73","Barrie","O3",2019,"January",25.75
"74","Barrie","O3",2019,"February",32.0208333333333
"75","Barrie","O3",2019,"March",32.7083333333333
"76","Barrie","O3",2019,"April",33.4375
"77","Barrie","O3",2019,"May",27.875
"78","Barrie","O3",2019,"June",25.25
"79","Barrie","O3",2019,"July",24.2083333333333
"80","Barrie","O3",2019,"August",23.2708333333333
"81","Barrie","O3",2019,"September",19.9583333333333
"82","Barrie","O3",2019,"October",17.375
"83","Barrie","O3",2019,"November",20.6666666666667
"84","Barrie","O3",2019,"December",19.875
"85","Barrie","O3",2020,"January",26.1666666666667
"86","Barrie","O3",2020,"February",34.0588768115942
"87","Barrie","O3",2020,"March",30.0625
"88","Barrie","O3",2020,"April",33.2916666666667
"89","Barrie","O3",2020,"May",29.3333333333333
"90","Barrie","O3",2020,"June",28
"91","Barrie","O3",2020,"July",23.2083333333333
"92","Barrie","O3",2020,"August",19.1666666666667
"93","Barrie","O3",2020,"September",19.6041666666667
"94","Barrie","O3",2020,"October",19.25
"95","Barrie","O3",2020,"November",22.8333333333333
"96","Barrie","O3",2020,"December",22.6666666666667
"97","Barrie","PM25",2017,"January",5.64166666666667
"98","Barrie","PM25",2017,"February",5.42391304347826
"99","Barrie","PM25",2017,"March",3.875
"100","Barrie","PM25",2017,"April",2.57142857142857
"101","Barrie","PM25",2017,"May",3.875
"102","Barrie","PM25",2017,"June",3.60416666666667
"103","Barrie","PM25",2017,"July",7.875
"104","Barrie","PM25",2017,"August",9.33333333333333
"105","Barrie","PM25",2017,"September",9.79166666666667
"106","Barrie","PM25",2017,"October",6.47916666666667
"107","Barrie","PM25",2017,"November",7.79166666666667
"108","Barrie","PM25",2017,"December",4.875
"109","Barrie","PM25",2018,"January",7.45833333333333
"110","Barrie","PM25",2018,"February",8.85416666666667
"111","Barrie","PM25",2018,"March",4.16666666666667
"112","Barrie","PM25",2018,"April",5.04166666666667
"113","Barrie","PM25",2018,"May",9.45833333333333
"114","Barrie","PM25",2018,"June",5.20833333333333
"115","Barrie","PM25",2018,"July",8.14583333333333
"116","Barrie","PM25",2018,"August",8.54166666666667
"117","Barrie","PM25",2018,"September",4
"118","Barrie","PM25",2018,"October",6.625
"119","Barrie","PM25",2018,"November",4.78351449275362
"120","Barrie","PM25",2018,"December",7.75
"121","Barrie","PM25",2019,"January",5.54166666666667
"122","Barrie","PM25",2019,"February",5.67261904761905
"123","Barrie","PM25",2019,"March",9.91666666666667
"124","Barrie","PM25",2019,"April",5.22916666666667
"125","Barrie","PM25",2019,"May",6.83333333333333
"126","Barrie","PM25",2019,"June",6.41666666666667
"127","Barrie","PM25",2019,"July",7.25
"128","Barrie","PM25",2019,"August",5.30978260869565
"129","Barrie","PM25",2019,"September",6.54166666666667
"130","Barrie","PM25",2019,"October",5.40909090909091
"131","Barrie","PM25",2019,"November",7.10526315789474
"132","Barrie","PM25",2019,"December",9.4375
"133","Barrie","PM25",2020,"January",7.95833333333333
"134","Barrie","PM25",2020,"February",4.26383399209486
"135","Barrie","PM25",2020,"March",7.10507246376812
"136","Barrie","PM25",2020,"April",5.9375
"137","Barrie","PM25",2020,"May",7.66666666666667
"138","Barrie","PM25",2020,"June",7.75
"139","Barrie","PM25",2020,"July",4.66666666666667
"140","Barrie","PM25",2020,"August",4.20833333333333
"141","Barrie","PM25",2020,"September",5.83333333333333
"142","Barrie","PM25",2020,"October",4
"143","Barrie","PM25",2020,"November",7.20833333333333
"144","Barrie","PM25",2020,"December",5.29166666666667
"145","Belleville","NO2",2017,"January",4.5
"146","Belleville","NO2",2017,"February",4.97916666666667
"147","Belleville","NO2",2017,"March",2.91666666666667
"148","Belleville","NO2",2017,"April",2.8125
"149","Belleville","NO2",2017,"May",3.04166666666667
"150","Belleville","NO2",2017,"June",2.875
"151","Belleville","NO2",2017,"July",3.20833333333333
"152","Belleville","NO2",2017,"August",3.375
"153","Belleville","NO2",2017,"September",5.83333333333333
"154","Belleville","NO2",2017,"October",4.0625
"155","Belleville","NO2",2017,"November",5.29166666666667
"156","Belleville","NO2",2017,"December",5.29166666666667
"157","Belleville","NO2",2018,"January",5.49583333333333
"158","Belleville","NO2",2018,"February",5.16875
"159","Belleville","NO2",2018,"March",2.37291666666667
"160","Belleville","NO2",2018,"April",2.92083333333333
"161","Belleville","NO2",2018,"May",2.70416666666667
"162","Belleville","NO2",2018,"June",2.98333333333333
"163","Belleville","NO2",2018,"July",2.44166666666667
"164","Belleville","NO2",2018,"August",2.85416666666667
"165","Belleville","NO2",2018,"September",2.27708333333333
"166","Belleville","NO2",2018,"October",2.8375
"167","Belleville","NO2",2018,"November",4.25833333333333
"168","Belleville","NO2",2018,"December",5.67083333333333
"169","Belleville","NO2",2019,"January",5.19166666666667
"170","Belleville","NO2",2019,"February",3.89166666666667
"171","Belleville","NO2",2019,"March",5.52916666666667
"172","Belleville","NO2",2019,"April",3.32083333333333
"173","Belleville","NO2",2019,"May",2.95833333333333
"174","Belleville","NO2",2019,"June",3.27291666666667
"175","Belleville","NO2",2019,"July",2.68333333333333
"176","Belleville","NO2",2019,"August",2.80416666666667
"177","Belleville","NO2",2019,"September",3.75
"178","Belleville","NO2",2019,"October",3.8625
"179","Belleville","NO2",2019,"November",4.67083333333333
"180","Belleville","NO2",2019,"December",4.86458333333333
"181","Belleville","NO2",2020,"January",4.82083333333333
"182","Belleville","NO2",2020,"February",3.80416666666667
"183","Belleville","NO2",2020,"March",3.3125
"184","Belleville","NO2",2020,"April",2.46458333333333
"185","Belleville","NO2",2020,"May",2.75
"186","Belleville","NO2",2020,"June",2.44565217391304
"187","Belleville","NO2",2020,"July",2.30416666666667
"188","Belleville","NO2",2020,"August",2.68260869565217
"189","Belleville","NO2",2020,"September",2.32708333333333
"190","Belleville","NO2",2020,"October",3.6125
"191","Belleville","NO2",2020,"November",3.6875
"192","Belleville","NO2",2020,"December",4.0375
"193","Belleville","O3",2017,"January",27.3541666666667
"194","Belleville","O3",2017,"February",32.7708333333333
"195","Belleville","O3",2017,"March",38.7916666666667
"196","Belleville","O3",2017,"April",34.5416666666667
"197","Belleville","O3",2017,"May",36.2083333333333
"198","Belleville","O3",2017,"June",30.7321428571429
"199","Belleville","O3",2017,"July",27.2916666666667
"200","Belleville","O3",2017,"August",32.5833333333333
"201","Belleville","O3",2017,"September",23.5416666666667
"202","Belleville","O3",2017,"October",25.3333333333333
"203","Belleville","O3",2017,"November",23.3541666666667
"204","Belleville","O3",2017,"December",27.0833333333333
"205","Belleville","O3",2018,"January",28.8333333333333
"206","Belleville","O3",2018,"February",28.8244047619048
"207","Belleville","O3",2018,"March",36.1041666666667
"208","Belleville","O3",2018,"April",38.625
"209","Belleville","O3",2018,"May",38.75
"210","Belleville","O3",2018,"June",29.0416666666667
"211","Belleville","O3",2018,"July",35.75
"212","Belleville","O3",2018,"August",29.125
"213","Belleville","O3",2018,"September",21.3333333333333
"214","Belleville","O3",2018,"October",20.5882352941176
"215","Belleville","O3",2018,"November",21.0208333333333
"216","Belleville","O3",2018,"December",21.5833333333333
"217","Belleville","O3",2019,"January",28.0416666666667
"218","Belleville","O3",2019,"February",35.6458333333333
"219","Belleville","O3",2019,"March",37.3333333333333
"220","Belleville","O3",2019,"April",35.4166666666667
"221","Belleville","O3",2019,"May",31.0416666666667
"222","Belleville","O3",2019,"June",32.2083333333333
"223","Belleville","O3",2019,"July",29.875
"224","Belleville","O3",2019,"August",31.2708333333333
"225","Belleville","O3",2019,"September",22.1666666666667
"226","Belleville","O3",2019,"October",20.9583333333333
"227","Belleville","O3",2019,"November",24.6666666666667
"228","Belleville","O3",2019,"December",25.1666666666667
"229","Belleville","O3",2020,"January",26.6666666666667
"230","Belleville","O3",2020,"February",33.8958333333333
"231","Belleville","O3",2020,"March",31.3125
"232","Belleville","O3",2020,"April",36.6666666666667
"233","Belleville","O3",2020,"May",35.0416666666667
"234","Belleville","O3",2020,"June",36.9067028985507
"235","Belleville","O3",2020,"July",30.5416666666667
"236","Belleville","O3",2020,"August",24.1666666666667
"237","Belleville","O3",2020,"September",25.3541666666667
"238","Belleville","O3",2020,"October",20.8333333333333
"239","Belleville","O3",2020,"November",25.9166666666667
"240","Belleville","O3",2020,"December",24
"241","Belleville","PM25",2017,"January",5.02083333333333
"242","Belleville","PM25",2017,"February",4.95833333333333
"243","Belleville","PM25",2017,"March",3.16666666666667
"244","Belleville","PM25",2017,"April",3.08333333333333
"245","Belleville","PM25",2017,"May",4.70833333333333
"246","Belleville","PM25",2017,"June",3.66666666666667
"247","Belleville","PM25",2017,"July",7.125
"248","Belleville","PM25",2017,"August",7.91666666666667
"249","Belleville","PM25",2017,"September",6.45833333333333
"250","Belleville","PM25",2017,"October",4.83333333333333
"251","Belleville","PM25",2017,"November",4.97916666666667
"252","Belleville","PM25",2017,"December",5.375
"253","Belleville","PM25",2018,"January",6.16666666666667
"254","Belleville","PM25",2018,"February",7.47916666666667
"255","Belleville","PM25",2018,"March",3.8125
"256","Belleville","PM25",2018,"April",4.5
"257","Belleville","PM25",2018,"May",8.25
"258","Belleville","PM25",2018,"June",5.33333333333333
"259","Belleville","PM25",2018,"July",7.58333333333333
"260","Belleville","PM25",2018,"August",9.16666666666667
"261","Belleville","PM25",2018,"September",4.89583333333333
"262","Belleville","PM25",2018,"October",4.45833333333333
"263","Belleville","PM25",2018,"November",3.625
"264","Belleville","PM25",2018,"December",7.29166666666667
"265","Belleville","PM25",2019,"January",4.70833333333333
"266","Belleville","PM25",2019,"February",4.4375
"267","Belleville","PM25",2019,"March",6.95833333333333
"268","Belleville","PM25",2019,"April",5.02083333333333
"269","Belleville","PM25",2019,"May",5.70833333333333
"270","Belleville","PM25",2019,"June",5.08333333333333
"271","Belleville","PM25",2019,"July",6.625
"272","Belleville","PM25",2019,"August",5.20833333333333
"273","Belleville","PM25",2019,"September",6.125
"274","Belleville","PM25",2019,"October",4.41666666666667
"275","Belleville","PM25",2019,"November",4.75
"276","Belleville","PM25",2019,"December",4.77083333333333
"277","Belleville","PM25",2020,"January",5.125
"278","Belleville","PM25",2020,"February",4.29166666666667
"279","Belleville","PM25",2020,"March",5.64583333333333
"280","Belleville","PM25",2020,"April",4.45833333333333
"281","Belleville","PM25",2020,"May",4.79166666666667
"282","Belleville","PM25",2020,"June",7.125
"283","Belleville","PM25",2020,"July",7.04166666666667
"284","Belleville","PM25",2020,"August",5.41666666666667
"285","Belleville","PM25",2020,"September",4.95833333333333
"286","Belleville","PM25",2020,"October",4.45833333333333
"287","Belleville","PM25",2020,"November",6.125
"288","Belleville","PM25",2020,"December",3.83333333333333
"289","Brampton","NO2",2017,"January",9.22916666666667
"290","Brampton","NO2",2017,"February",8.0661231884058
"291","Brampton","NO2",2017,"March",6.75
"292","Brampton","NO2",2017,"April",7.89583333333333
"293","Brampton","NO2",2017,"May",7.29166666666667
"294","Brampton","NO2",2017,"June",4.04166666666667
"295","Brampton","NO2",2017,"July",4.58333333333333
"296","Brampton","NO2",2017,"August",5.54166666666667
"297","Brampton","NO2",2017,"September",7.95833333333333
"298","Brampton","NO2",2017,"October",8.20833333333333
"299","Brampton","NO2",2017,"November",10.0208333333333
"300","Brampton","NO2",2017,"December",10.2916666666667
"301","Brampton","NO2",2018,"January",10.7666666666667
"302","Brampton","NO2",2018,"February",10.2645833333333
"303","Brampton","NO2",2018,"March",7.24583333333333
"304","Brampton","NO2",2018,"April",8.14583333333333
"305","Brampton","NO2",2018,"May",6.5875
"306","Brampton","NO2",2018,"June",5.3375
"307","Brampton","NO2",2018,"July",4.94166666666667
"308","Brampton","NO2",2018,"August",4.87083333333333
"309","Brampton","NO2",2018,"September",6.86458333333333
"310","Brampton","NO2",2018,"October",8.05416666666667
"311","Brampton","NO2",2018,"November",9.67708333333333
"312","Brampton","NO2",2018,"December",9.84583333333333
"313","Brampton","NO2",2019,"January",10.8458333333333
"314","Brampton","NO2",2019,"February",12.4083333333333
"315","Brampton","NO2",2019,"March",8.00869565217391
"316","Brampton","NO2",2019,"April",9.36403985507246
"317","Brampton","NO2",2019,"May",7.45652173913043
"318","Brampton","NO2",2019,"June",6.09284420289855
"319","Brampton","NO2",2019,"July",5.24583333333333
"320","Brampton","NO2",2019,"August",3.65208333333333
"321","Brampton","NO2",2019,"September",9.56666666666667
"322","Brampton","NO2",2019,"October",7.35833333333333
"323","Brampton","NO2",2019,"November",7.8695652173913
"324","Brampton","NO2",2019,"December",11.0317028985507
"325","Brampton","NO2",2020,"January",10.2791666666667
"326","Brampton","NO2",2020,"February",6.93333333333333
"327","Brampton","NO2",2020,"March",8.88333333333333
"328","Brampton","NO2",2020,"April",5.63867753623188
"329","Brampton","NO2",2020,"May",5.175
"330","Brampton","NO2",2020,"June",5.38034420289855
"331","Brampton","NO2",2020,"July",3.49583333333333
"332","Brampton","NO2",2020,"August",4.0375
"333","Brampton","NO2",2020,"September",4.67400362318841
"334","Brampton","NO2",2020,"October",5.80833333333333
"335","Brampton","NO2",2020,"November",8.05833333333333
"336","Brampton","NO2",2020,"December",5.94583333333333
"337","Brampton","O3",2017,"January",22.1875
"338","Brampton","O3",2017,"February",28.2708333333333
"339","Brampton","O3",2017,"March",33
"340","Brampton","O3",2017,"April",30.5625
"341","Brampton","O3",2017,"May",30.8333333333333
"342","Brampton","O3",2017,"June",29.8541666666667
"343","Brampton","O3",2017,"July",28.4166666666667
"344","Brampton","O3",2017,"August",27.5416666666667
"345","Brampton","O3",2017,"September",22.5833333333333
"346","Brampton","O3",2017,"October",23.4166666666667
"347","Brampton","O3",2017,"November",20.6041666666667
"348","Brampton","O3",2017,"December",23.375
"349","Brampton","O3",2018,"January",26.5
"350","Brampton","O3",2018,"February",28.5208333333333
"351","Brampton","O3",2018,"March",34.5625
"352","Brampton","O3",2018,"April",34.2083333333333
"353","Brampton","O3",2018,"May",37.1666666666667
"354","Brampton","O3",2018,"June",33.6666666666667
"355","Brampton","O3",2018,"July",35.3125
"356","Brampton","O3",2018,"August",30.7916666666667
"357","Brampton","O3",2018,"September",20.4791666666667
"358","Brampton","O3",2018,"October",20.25
"359","Brampton","O3",2018,"November",18.3804824561403
"360","Brampton","O3",2018,"December",19.3333333333333
"361","Brampton","O3",2019,"January",24.375
"362","Brampton","O3",2019,"February",29.9583333333333
"363","Brampton","O3",2019,"March",33.9583333333333
"364","Brampton","O3",2019,"April",32.1458333333333
"365","Brampton","O3",2019,"May",29.8333333333333
"366","Brampton","O3",2019,"June",29.375
"367","Brampton","O3",2019,"July",31.125
"368","Brampton","O3",2019,"August",28.4791666666667
"369","Brampton","O3",2019,"September",21.3333333333333
"370","Brampton","O3",2019,"October",18.5
"371","Brampton","O3",2019,"November",22.375
"372","Brampton","O3",2019,"December",20.7291666666667
"373","Brampton","O3",2020,"January",20.5416666666667
"374","Brampton","O3",2020,"February",32.5833333333333
"375","Brampton","O3",2020,"March",27.7291666666667
"376","Brampton","O3",2020,"April",35.9375
"377","Brampton","O3",2020,"May",34.7083333333333
"378","Brampton","O3",2020,"June",35.4375
"379","Brampton","O3",2020,"July",29.2083333333333
"380","Brampton","O3",2020,"August",26.0869565217391
"381","Brampton","O3",2020,"September",22.9791666666667
"382","Brampton","O3",2020,"October",20.4375
"383","Brampton","O3",2020,"November",21.8695652173913
"384","Brampton","O3",2020,"December",22.4166666666667
"385","Brampton","PM25",2017,"January",7.29166666666667
"386","Brampton","PM25",2017,"February",6.89583333333333
"387","Brampton","PM25",2017,"March",4.58333333333333
"388","Brampton","PM25",2017,"April",4.89583333333333
"389","Brampton","PM25",2017,"May",5.33333333333333
"390","Brampton","PM25",2017,"June",5.35416666666667
"391","Brampton","PM25",2017,"July",6.875
"392","Brampton","PM25",2017,"August",8.16666666666667
"393","Brampton","PM25",2017,"September",9.375
"394","Brampton","PM25",2017,"October",5.54166666666667
"395","Brampton","PM25",2017,"November",6.875
"396","Brampton","PM25",2017,"December",5.79166666666667
"397","Brampton","PM25",2018,"January",6.29166666666667
"398","Brampton","PM25",2018,"February",7
"399","Brampton","PM25",2018,"March",4.375
"400","Brampton","PM25",2018,"April",5.58333333333333
"401","Brampton","PM25",2018,"May",8.5
"402","Brampton","PM25",2018,"June",6.33333333333333
"403","Brampton","PM25",2018,"July",7.25
"404","Brampton","PM25",2018,"August",7.625
"405","Brampton","PM25",2018,"September",5.1875
"406","Brampton","PM25",2018,"October",5.25
"407","Brampton","PM25",2018,"November",5.33333333333333
"408","Brampton","PM25",2018,"December",8.08333333333333
"409","Brampton","PM25",2019,"January",6.41666666666667
"410","Brampton","PM25",2019,"February",6.39583333333333
"411","Brampton","PM25",2019,"March",8.08333333333333
"412","Brampton","PM25",2019,"April",5.5625
"413","Brampton","PM25",2019,"May",5.54166666666667
"414","Brampton","PM25",2019,"June",5.875
"415","Brampton","PM25",2019,"July",6.375
"416","Brampton","PM25",2019,"August",4.9375
"417","Brampton","PM25",2019,"September",5.75
"418","Brampton","PM25",2019,"October",5.125
"419","Brampton","PM25",2019,"November",6.29166666666667
"420","Brampton","PM25",2019,"December",7.73333333333333
"421","Brampton","PM25",2020,"January",6.04166666666667
"422","Brampton","PM25",2020,"February",4.54166666666667
"423","Brampton","PM25",2020,"March",6.5
"424","Brampton","PM25",2020,"April",4.3125
"425","Brampton","PM25",2020,"May",4.83333333333333
"426","Brampton","PM25",2020,"June",7.02083333333333
"427","Brampton","PM25",2020,"July",5.70833333333333
"428","Brampton","PM25",2020,"August",5.66666666666667
"429","Brampton","PM25",2020,"September",5.20833333333333
"430","Brampton","PM25",2020,"October",4.72916666666667
"431","Brampton","PM25",2020,"November",7.75
"432","Brampton","PM25",2020,"December",6.04166666666667
"433","Brantford","NO2",2017,"January",4.95833333333333
"434","Brantford","NO2",2017,"February",3.54166666666667
"435","Brantford","NO2",2017,"March",4
"436","Brantford","NO2",2017,"April",4.08333333333333
"437","Brantford","NO2",2017,"May",3.75
"438","Brantford","NO2",2017,"June",3.22916666666667
"439","Brantford","NO2",2017,"July",3.29166666666667
"440","Brantford","NO2",2017,"August",3.08333333333333
"441","Brantford","NO2",2017,"September",3.625
"442","Brantford","NO2",2017,"October",4.20833333333333
"443","Brantford","NO2",2017,"November",5.53308823529412
"444","Brantford","NO2",2017,"December",6.875
"445","Brantford","NO2",2018,"January",6.8125
"446","Brantford","NO2",2018,"February",6.38958333333333
"447","Brantford","NO2",2018,"March",5.28958333333333
"448","Brantford","NO2",2018,"April",4.95833333333333
"449","Brantford","NO2",2018,"May",5.36666666666667
"450","Brantford","NO2",2018,"June",4.11666666666667
"451","Brantford","NO2",2018,"July",4.2
"452","Brantford","NO2",2018,"August",3.26666666666667
"453","Brantford","NO2",2018,"September",3.82916666666667
"454","Brantford","NO2",2018,"October",3.54583333333333
"455","Brantford","NO2",2018,"November",6.40416666666667
"456","Brantford","NO2",2018,"December",7.1625
"457","Brantford","NO2",2019,"January",6.05416666666667
"458","Brantford","NO2",2019,"February",7.97291666666667
"459","Brantford","NO2",2019,"March",5.5875
"460","Brantford","NO2",2019,"April",5.09791666666667
"461","Brantford","NO2",2019,"May",4.9
"462","Brantford","NO2",2019,"June",4.39583333333333
"463","Brantford","NO2",2019,"July",3.75833333333333
"464","Brantford","NO2",2019,"August",3.625
"465","Brantford","NO2",2019,"September",4.225
"466","Brantford","NO2",2019,"October",4.225
"467","Brantford","NO2",2019,"November",7.33478260869565
"468","Brantford","NO2",2019,"December",7.07853260869565
"469","Brantford","NO2",2020,"January",5.50416666666667
"470","Brantford","NO2",2020,"February",5.24583333333333
"471","Brantford","NO2",2020,"March",5.97916666666667
"472","Brantford","NO2",2020,"April",3.36467391304348
"473","Brantford","NO2",2020,"May",3.68260869565217
"474","Brantford","NO2",2020,"June",3.38179347826087
"475","Brantford","NO2",2020,"July",2.77083333333333
"476","Brantford","NO2",2020,"August",2.9695652173913
"477","Brantford","NO2",2020,"September",3.13994565217391
"478","Brantford","NO2",2020,"October",3.59375
"479","Brantford","NO2",2020,"November",5.35833333333333
"480","Brantford","NO2",2020,"December",5.15416666666667
"481","Brantford","O3",2017,"January",23.6875
"482","Brantford","O3",2017,"February",31.6458333333333
"483","Brantford","O3",2017,"March",33.9166666666667
"484","Brantford","O3",2017,"April",32.9375
"485","Brantford","O3",2017,"May",34.375
"486","Brantford","O3",2017,"June",29.8125
"487","Brantford","O3",2017,"July",26.3333333333333
"488","Brantford","O3",2017,"August",28.6666666666667
"489","Brantford","O3",2017,"September",22.1666666666667
"490","Brantford","O3",2017,"October",23.2291666666667
"491","Brantford","O3",2017,"November",22.4285714285714
"492","Brantford","O3",2017,"December",26.25
"493","Brantford","O3",2018,"January",28.125
"494","Brantford","O3",2018,"February",29.25
"495","Brantford","O3",2018,"March",34.4791666666667
"496","Brantford","O3",2018,"April",36.4583333333333
"497","Brantford","O3",2018,"May",37.5
"498","Brantford","O3",2018,"June",33
"499","Brantford","O3",2018,"July",31.3541666666667
"500","Brantford","O3",2018,"August",29
"501","Brantford","O3",2018,"September",19.1875
"502","Brantford","O3",2018,"October",20.8333333333333
"503","Brantford","O3",2018,"November",20.0208333333333
"504","Brantford","O3",2018,"December",18.5416666666667
"505","Brantford","O3",2019,"January",25.25
"506","Brantford","O3",2019,"February",30.2291666666667
"507","Brantford","O3",2019,"March",36
"508","Brantford","O3",2019,"April",33.2291666666667
"509","Brantford","O3",2019,"May",29.875
"510","Brantford","O3",2019,"June",31.9166666666667
"511","Brantford","O3",2019,"July",29.9583333333333
"512","Brantford","O3",2019,"August",26.8958333333333
"513","Brantford","O3",2019,"September",23.5
"514","Brantford","O3",2019,"October",17.75
"515","Brantford","O3",2019,"November",21.7826086956522
"516","Brantford","O3",2019,"December",23.4375
"517","Brantford","O3",2020,"January",26.7391304347826
"518","Brantford","O3",2020,"February",31.7291666666667
"519","Brantford","O3",2020,"March",29.5516304347826
"520","Brantford","O3",2020,"April",36.1875
"521","Brantford","O3",2020,"May",31.75
"522","Brantford","O3",2020,"June",34.5208333333333
"523","Brantford","O3",2020,"July",28.75
"524","Brantford","O3",2020,"August",24
"525","Brantford","O3",2020,"September",23.9166666666667
"526","Brantford","O3",2020,"October",20.5
"527","Brantford","O3",2020,"November",20.6521739130435
"528","Brantford","O3",2020,"December",24.0416666666667
"529","Brantford","PM25",2017,"January",7.27083333333333
"530","Brantford","PM25",2017,"February",8.16666666666667
"531","Brantford","PM25",2017,"March",4.70833333333333
"532","Brantford","PM25",2017,"April",5.25
"533","Brantford","PM25",2017,"May",5.54166666666667
"534","Brantford","PM25",2017,"June",5.95833333333333
"535","Brantford","PM25",2017,"July",7.79166666666667
"536","Brantford","PM25",2017,"August",9.54166666666667
"537","Brantford","PM25",2017,"September",7.66666666666667
