"","Station","Pollutant","Period","Month","Ndays","Median","Pval","Pval_old"
"1","Barrie","O3","2017-2019","January",68,24.4791666666667,0.3413,0.3607
"2","Barrie","O3","2017-2019","February",60,29.6875,0.2446,0.2668
"3","Barrie","O3","2017-2019","March",66,34.3541666666667,0.0094,0.0087
"4","Barrie","O3","2017-2019","April",63,34.4166666666667,0.1289,0.1298
"5","Barrie","O3","2017-2019","May",69,31.6666666666667,0.0027,0.0025
"6","Barrie","O3","2017-2019","June",63,26.5833333333333,0.8197,0.8073
"7","Barrie","O3","2017-2019","July",66,26.5625,0.0777,NA
"8","Barrie","O3","2017-2019","August",68,23.5208333333333,0.9568,NA
"9","Barrie","O3","2017-2019","September",62,20,0.8991,NA
"10","Barrie","O3","2017-2019","October",68,18.5625,0.0392,NA
"11","Barrie","O3","2017-2019","November",65,19.1666666666667,0.2928,NA
"12","Barrie","O3","2017-2019","December",64,21.2708333333333,0.0653,NA
"13","Barrie","O3","2020","January",23,26.1666666666667,0.2539,0.2607
"14","Barrie","O3","2020","February",20,34.0588768115942,0.0168,0.0165
"15","Barrie","O3","2020","March",22,30.0625,0.0108,0.0129
"16","Barrie","O3","2020","April",22,33.2916666666667,0.3463,0.3405
"17","Barrie","O3","2020","May",21,29.3333333333333,0.4032,0.4156
"18","Barrie","O3","2020","June",22,28,0.3635,0.3677
"19","Barrie","O3","2020","July",23,23.2083333333333,0.3848,NA
"20","Barrie","O3","2020","August",21,19.1666666666667,0.0218,NA
"21","Barrie","O3","2020","September",22,19.6041666666667,0.7634,NA
"22","Barrie","O3","2020","October",22,19.25,0.5807,NA
"23","Barrie","O3","2020","November",21,22.8333333333333,0.0774,NA
"24","Barrie","O3","2020","December",23,22.6666666666667,0.4456,NA
"25","Barrie","PM25","2017-2019","January",68,5.91666666666667,0.4554,0.4031
"26","Barrie","PM25","2017-2019","February",60,6.3125,0.1659,0.1111
"27","Barrie","PM25","2017-2019","March",66,5.16938405797101,0.002,0.0014
"28","Barrie","PM25","2017-2019","April",62,4.8125,0.0664,0.048
"29","Barrie","PM25","2017-2019","May",69,6.83333333333333,4e-04,0.0014
"30","Barrie","PM25","2017-2019","June",63,6.04166666666667,0.141,0.1687
"31","Barrie","PM25","2017-2019","July",66,7.79166666666667,0.6133,NA
"32","Barrie","PM25","2017-2019","August",68,7.85416666666667,0.0181,NA
"33","Barrie","PM25","2017-2019","September",62,6.35416666666667,0.0016,NA
"34","Barrie","PM25","2017-2019","October",68,5.97916666666667,0.7956,NA
"35","Barrie","PM25","2017-2019","November",65,6.54166666666667,0.291,NA
"36","Barrie","PM25","2017-2019","December",64,7.70833333333333,0.137,NA
"37","Barrie","PM25","2020","January",23,7.95833333333333,0.2,0.2084
"38","Barrie","PM25","2020","February",20,4.26383399209486,0.1432,0.1362
"39","Barrie","PM25","2020","March",22,7.10507246376812,0.086,0.0909
"40","Barrie","PM25","2020","April",22,5.9375,0.144,0.1436
"41","Barrie","PM25","2020","May",21,7.66666666666667,0.6714,0.6738
