"","Station","Year","Month","Median"
"1","Grand_Bend_Goderich",2017,"January",0.55
"2","Grand_Bend_Goderich",2017,"February",-1.4
"3","Grand_Bend_Goderich",2017,"March",0.15
"4","Grand_Bend_Goderich",2017,"April",7.65
"5","Grand_Bend_Goderich",2017,"May",10.4
"6","Grand_Bend_Goderich",2017,"June",18.15
"7","Grand_Bend_Goderich",2017,"July",19.5
"8","Grand_Bend_Goderich",2017,"August",19.8
"9","Grand_Bend_Goderich",2017,"September",16.7
"10","Grand_Bend_Goderich",2017,"October",12.3
"11","Grand_Bend_Goderich",2017,"November",3.3
"12","Grand_Bend_Goderich",2017,"December",-2.5
"13","Grand_Bend_Goderich",2018,"January",-6
"14","Grand_Bend_Goderich",2018,"February",-1.8
"15","Grand_Bend_Goderich",2018,"March",-1.5
"16","Grand_Bend_Goderich",2018,"April",1.2
"17","Grand_Bend_Goderich",2018,"May",15.3
"18","Grand_Bend_Goderich",2018,"June",17.5
"19","Grand_Bend_Goderich",2018,"July",20.5
"20","Grand_Bend_Goderich",2018,"August",20.6
"21","Grand_Bend_Goderich",2018,"September",17.4
"22","Grand_Bend_Goderich",2018,"October",7.15
"23","Grand_Bend_Goderich",2018,"November",0.35
"24","Grand_Bend_Goderich",2018,"December",0.2
"25","Grand_Bend_Goderich",2019,"January",-5
"26","Grand_Bend_Goderich",2019,"February",-3.1
"27","Grand_Bend_Goderich",2019,"March",-0.7
"28","Grand_Bend_Goderich",2019,"April",5
"29","Grand_Bend_Goderich",2019,"May",9.9
"30","Grand_Bend_Goderich",2019,"June",15
"31","Grand_Bend_Goderich",2019,"July",19.15
"32","Grand_Bend_Goderich",2019,"August",19.45
"33","Grand_Bend_Goderich",2019,"September",17.4
"34","Grand_Bend_Goderich",2019,"October",10.1
"35","Grand_Bend_Goderich",2019,"November",2.2
"36","Grand_Bend_Goderich",2019,"December",-0.4
"37","Grand_Bend_Goderich",2020,"January",-1.1
"38","Grand_Bend_Goderich",2020,"February",-3.75
"39","Grand_Bend_Goderich",2020,"March",2.15
"40","Grand_Bend_Goderich",2020,"April",2.75
"41","Grand_Bend_Goderich",2020,"May",11.1
"42","Grand_Bend_Goderich",2020,"June",18.35
"43","Grand_Bend_Goderich",2020,"July",21.4
"44","Grand_Bend_Goderich",2020,"August",18.6
"45","Grand_Bend_Goderich",2020,"September",14.95
"46","Grand_Bend_Goderich",2020,"October",9.7
"47","Grand_Bend_Goderich",2020,"November",7.8
"48","Grand_Bend_Goderich",2020,"December",-0.1
"49","Guelph",2017,"January",0
"50","Guelph",2017,"February",-3.05
"51","Guelph",2017,"March",-0.45
"52","Guelph",2017,"April",7.2
"53","Guelph",2017,"May",9.1
"54","Guelph",2017,"June",16.6
"55","Guelph",2017,"July",19.7
"56","Guelph",2017,"August",18.7
"57","Guelph",2017,"September",18.3
"58","Guelph",2017,"October",11.1
"59","Guelph",2017,"November",1.3
"60","Guelph",2017,"December",-5.3
"61","Guelph",2018,"January",-8.8
"62","Guelph",2018,"February",-2.8
"63","Guelph",2018,"March",-1.5
"64","Guelph",2018,"April",0.3
"65","Guelph",2018,"May",14.2
"66","Guelph",2018,"June",16.2
"67","Guelph",2018,"July",20.35
"68","Guelph",2018,"August",21.3
"69","Guelph",2018,"September",17.8
"70","Guelph",2018,"October",6.55
"71","Guelph",2018,"November",-0.7
"72","Guelph",2018,"December",-1.8
"73","Guelph",2019,"January",-7.2
"74","Guelph",2019,"February",-3.95
"75","Guelph",2019,"March",-1.5
"76","Guelph",2019,"April",4.9
"77","Guelph",2019,"May",10.1
"78","Guelph",2019,"June",16.65
"79","Guelph",2019,"July",20.85
"80","Guelph",2019,"August",18.6
"81","Guelph",2019,"September",15.1
"82","Guelph",2019,"October",8.75
"83","Guelph",2019,"November",0.6
"84","Guelph",2019,"December",-1.9
"85","Guelph",2020,"January",-3.4
"86","Guelph",2020,"February",-6.1
"87","Guelph",2020,"March",2.3
"88","Guelph",2020,"April",4.3
"89","Guelph",2020,"May",10.9
"90","Guelph",2020,"June",18.85
"91","Guelph",2020,"July",21.7
"92","Guelph",2020,"August",19
"93","Guelph",2020,"September",14.5
"94","Guelph",2020,"October",8.7
"95","Guelph",2020,"November",3.8
"96","Guelph",2020,"December",-1.5
"97","Hamilton_Downtown",2017,"January",1.8
"98","Hamilton_Downtown",2017,"February",-0.05
"99","Hamilton_Downtown",2017,"March",2.5
"100","Hamilton_Downtown",2017,"April",8.2
"101","Hamilton_Downtown",2017,"May",12.1
"102","Hamilton_Downtown",2017,"June",18.25
"103","Hamilton_Downtown",2017,"July",22.1
"104","Hamilton_Downtown",2017,"August",20.3
"105","Hamilton_Downtown",2017,"September",19.5
"106","Hamilton_Downtown",2017,"October",14.3
"107","Hamilton_Downtown",2018,"January",-5.5
"108","Hamilton_Downtown",2018,"February",-0.75
"109","Hamilton_Downtown",2018,"March",0.45
"110","Hamilton_Downtown",2018,"April",2.7
"111","Hamilton_Downtown",2018,"May",17.1
"112","Hamilton_Downtown",2018,"June",17.7
"113","Hamilton_Downtown",2018,"July",20.7
"114","Hamilton_Downtown",2018,"August",21.1
"115","Hamilton_Downtown",2018,"September",19.15
"116","Hamilton_Downtown",2018,"October",8.3
"117","Hamilton_Downtown",2018,"November",2.4
"118","Hamilton_Downtown",2018,"December",0.2
"119","Hamilton_Downtown",2019,"January",-5.85
"120","Hamilton_Downtown",2019,"February",-2.7
"121","Hamilton_Downtown",2019,"March",0.5
"122","Hamilton_Downtown",2019,"April",5.55
"123","Hamilton_Downtown",2019,"May",12.05
"124","Hamilton_Downtown",2019,"June",17.9
"125","Hamilton_Downtown",2020,"May",14.65
"126","Hamilton_Downtown",2020,"June",20.6
"127","Hamilton_Downtown",2020,"July",23.8
"128","Hamilton_Downtown",2020,"August",21.2
"129","Hamilton_Downtown",2020,"September",16.4
"130","Hamilton_Downtown",2020,"October",10.7
"131","Hamilton_Downtown",2020,"November",5.35
"132","Hamilton_Downtown",2020,"December",1.4
"133","Hamilton_West_Hamilton_Mountain",2017,"January",0.65
"134","Hamilton_West_Hamilton_Mountain",2017,"February",-1.2
"135","Hamilton_West_Hamilton_Mountain",2017,"March",1.1
"136","Hamilton_West_Hamilton_Mountain",2017,"April",7.1
"137","Hamilton_West_Hamilton_Mountain",2017,"May",11.6
"138","Hamilton_West_Hamilton_Mountain",2017,"June",17.5
"139","Hamilton_West_Hamilton_Mountain",2017,"July",20.5
"140","Hamilton_West_Hamilton_Mountain",2017,"August",19.35
"141","Hamilton_West_Hamilton_Mountain",2017,"September",18.8
"142","Hamilton_West_Hamilton_Mountain",2017,"October",12.6
"143","Hamilton_West_Hamilton_Mountain",2017,"November",2.9
"144","Hamilton_West_Hamilton_Mountain",2017,"December",-4.1
"145","Hamilton_West_Hamilton_Mountain",2018,"January",-6.7
"146","Hamilton_West_Hamilton_Mountain",2018,"February",-1.6
"147","Hamilton_West_Hamilton_Mountain",2018,"March",-0.7
"148","Hamilton_West_Hamilton_Mountain",2018,"April",1.8
"149","Hamilton_West_Hamilton_Mountain",2018,"May",15.9
"150","Hamilton_West_Hamilton_Mountain",2018,"June",17.7
