"","Station","Period","Month","Ndays","Median","Pval","Pval_old"
"1","Grand_Bend_Goderich","2017-2019","January",68,-3.6,0.0299,0.0166
"2","Grand_Bend_Goderich","2017-2019","February",59,-2.3,0.7973,0.7944
"3","Grand_Bend_Goderich","2017-2019","March",63,-1.2,0.4435,0.474
"4","Grand_Bend_Goderich","2017-2019","April",63,5.4,0.0021,0.0019
"5","Grand_Bend_Goderich","2017-2019","May",67,12,0.0041,0.0018
"6","Grand_Bend_Goderich","2017-2019","June",61,16.7,0.1959,0.1973
"7","Grand_Bend_Goderich","2017-2019","July",65,19.6,0.3563,NA
"8","Grand_Bend_Goderich","2017-2019","August",67,20.1,0.1742,NA
"9","Grand_Bend_Goderich","2017-2019","September",59,17.4,0.938,NA
"10","Grand_Bend_Goderich","2017-2019","October",65,9.9,0.0144,NA
"11","Grand_Bend_Goderich","2017-2019","November",62,2.25,0.0457,NA
"12","Grand_Bend_Goderich","2017-2019","December",64,-0.4,0.0397,NA
"13","Grand_Bend_Goderich","2020","January",22,-1.1,0.203,0.1856
"14","Grand_Bend_Goderich","2020","February",20,-3.75,0.492,0.4987
"15","Grand_Bend_Goderich","2020","March",22,2.15,0.0014,0.0028
"16","Grand_Bend_Goderich","2020","April",22,2.75,0.1527,0.1501
"17","Grand_Bend_Goderich","2020","May",21,11.1,0.7345,0.7281
"18","Grand_Bend_Goderich","2020","June",22,18.35,0.2638,0.2683
"19","Grand_Bend_Goderich","2020","July",21,21.4,0.1043,NA
"20","Grand_Bend_Goderich","2020","August",21,18.6,0.023,NA
"21","Grand_Bend_Goderich","2020","September",22,14.95,0.0498,NA
"22","Grand_Bend_Goderich","2020","October",21,9.7,0.8105,NA
"23","Grand_Bend_Goderich","2020","November",17,7.8,1e-04,NA
"24","Grand_Bend_Goderich","2020","December",23,-0.1,0.5832,NA
"25","Guelph","2017-2019","January",61,-6.4,0.0043,0.0015
"26","Guelph","2017-2019","February",54,-3.9,0.8584,0.8479
"27","Guelph","2017-2019","March",65,-1.5,0.6508,0.5836
"28","Guelph","2017-2019","April",62,4.95,1e-04,5e-04
"29","Guelph","2017-2019","May",61,11.4,0.0018,9e-04
"30","Guelph","2017-2019","June",62,16.5,0.8605,0.867
"31","Guelph","2017-2019","July",65,20.2,0.4632,NA
"32","Guelph","2017-2019","August",68,19.2,0.0126,NA
"33","Guelph","2017-2019","September",62,16.15,0.1456,NA
"34","Guelph","2017-2019","October",63,8.7,0.0256,NA
"35","Guelph","2017-2019","November",61,0.7,0.2314,NA
"36","Guelph","2017-2019","December",64,-2.35,0.0696,NA
"37","Guelph","2020","January",23,-3.4,0.1847,0.2005
